VMSD - VHCK Moonsec Dumper
fors, all_fors, values, all_values, time, all_time
723 723 3333 3333 1.7892742000040016 1.7892740000024787
714 1437 3333 6666 0.46809439999924507 2.637166000000434
715 2152 3333 9999 0.48103830000036396 3.232113700003538
709 2861 3333 13332 0.4819936999992933 3.8379927999994834
734 3595 3333 16665 0.4755388999983552 4.448360499998671
781 4376 3333 19998 0.5023612000004505 5.071670299999823
745 5121 3333 23331 0.48961419999977807 5.6877899000028265
785 5906 3333 26664 0.5042119000063394 6.313450499997998
789 6695 3333 29997 2.50984829999652 8.94261070000357
787 7482 3333 33330 0.4817241999990074 9.948502300001564
784 8266 3333 36663 0.4991437999997288 10.584367600000405
789 9055 3333 39996 0.4820962000012514 11.191083600002457
766 9821 3333 43329 0.49962629999936325 11.807065399996645
772 10593 3333 46662 0.48666810000577243 12.41526889999659
760 11353 3333 49995 0.7339677999989362 13.268186799999967
766 12119 3333 53328 0.5109195999975782 13.944452399999136
109 12228 479 53807 0.018841999997675885 14.122515499999281
